passage_uri,real_sourcekey
https://r11.eu/rdf/resource/51a9954d-2268-4550-a685-22f02f626864,"Theophylaktos of Ohrid, Letters 7"
https://r11.eu/rdf/resource/03b5acf1-0779-40ee-a5ec-04c3da3dbc18,Lavra 46
https://r11.eu/rdf/resource/7a1809e7-b2e9-4a0e-9d44-88bfaf6f4743,Lavra 46
https://r11.eu/rdf/resource/1f6330e1-61b2-4d04-9906-cb5d1dfc5a7b,Lavra 46
https://r11.eu/rdf/resource/25836c82-6190-473d-b1a8-51a2d74a43af,Kleinchroniken 14
https://r11.eu/rdf/resource/fe3db4c7-b1d0-4809-97d1-523b36079aaf,Kleinchroniken 14
https://r11.eu/rdf/resource/3c9adcc9-0aae-4084-896b-28a0a85bcf4c,Kleinchroniken 6
https://r11.eu/rdf/resource/1904fa68-d4cd-406c-b916-a7fa38c25a64,Kleinchroniken 14
https://r11.eu/rdf/resource/ac05c1be-47e2-4543-b736-1dcb5ee3c81d,Kleinchroniken 14
https://r11.eu/rdf/resource/4bf360be-dfe1-4eb9-b821-6d1a8455f306,Kleinchroniken 14
https://r11.eu/rdf/resource/eb6cdb67-9d39-4fc8-a345-dfe5f1a96397,"Theophylaktos of Ohrid, Letters 12"
https://r11.eu/rdf/resource/e2245f16-edd5-47fe-a1bf-00b33ba00c47,"Theophylaktos of Ohrid, Letters 127"
https://r11.eu/rdf/resource/a16b4689-3285-4e5e-9818-4750c3fc64af,"Theophylaktos of Ohrid, Letters 127"
https://r11.eu/rdf/resource/138e93ea-0aba-4212-86ef-105ccf4f54ff,"Theophylaktos of Ohrid, Letters 8"
https://r11.eu/rdf/resource/2bac1256-27f4-4643-9288-db301ee31187,"Theophylaktos of Ohrid, Letters 127"
https://r11.eu/rdf/resource/ed12bb7a-8744-477b-9cbf-eb6a02c6e064,"Theophylaktos of Ohrid, Letters 8"
https://r11.eu/rdf/resource/2fb80f7e-af1e-4c37-83a6-731ee0ef0b64,Lavra 43
https://r11.eu/rdf/resource/7f43fc46-78db-4c78-940a-139670367a83,Lavra 43
https://r11.eu/rdf/resource/d6e93a84-7f44-4909-93b6-dbfe351b0ee7,Lavra 43
https://r11.eu/rdf/resource/16d69a19-cea3-42ee-adf9-22878276fcbd,Lavra 43
https://r11.eu/rdf/resource/caff817e-ece0-4373-9563-0c842f3d827f,Lavra 51
https://r11.eu/rdf/resource/b36f15c1-c95a-48a4-a018-a677c75d46b9,Xenophontos 2
https://r11.eu/rdf/resource/8c4f964e-0478-49ba-9c65-3469ca19b59a,Xenophontos 2
https://r11.eu/rdf/resource/a17dd35a-d1a8-4aaa-bcdf-07fb3f359add,Docheiariou 2b
https://r11.eu/rdf/resource/f8d5d01f-b0e6-4115-8ae5-644a7976016e,Vatopedi 11
https://r11.eu/rdf/resource/2de28a02-ae84-484f-b5c5-7e30611dea2f,Xenophontos 2
https://r11.eu/rdf/resource/a53daad0-56a1-48de-af3a-ff173ea66e00,Docheiariou 2b
https://r11.eu/rdf/resource/cc6e09cb-05fd-49da-b82e-7e923e590e65,Kleinchroniken 16
https://r11.eu/rdf/resource/cd6a27fe-01b4-4f9a-8e73-fc597615b350,Kleinchroniken 14
https://r11.eu/rdf/resource/0a0f0cea-3642-4120-b735-e9bd0fd06a0c,Lavra 39
https://r11.eu/rdf/resource/95066ee0-c429-4983-80ca-3a3b474b31a5,Lavra 39
https://r11.eu/rdf/resource/ef206cda-5e1e-4ad9-a2a4-fc3ff4d3fecd,Lavra 39
https://r11.eu/rdf/resource/4d6ae22a-90e0-45d2-a7a3-7cf4d81116c4,Lavra 47
https://r11.eu/rdf/resource/fded6335-36c1-43ea-9c15-b3eb58e46240,Docheiariou 2b
https://r11.eu/rdf/resource/37143595-cefb-43bd-8221-5e1a485fa7a4,Kleinchroniken 5
https://r11.eu/rdf/resource/0eb413ad-8799-4564-b331-b4aa80930c1f,"Theophylaktos of Ohrid, Letters 6"
https://r11.eu/rdf/resource/61f1c225-b2d3-451f-8ee7-dc24c818a470,"Theophylaktos of Ohrid, Letters 6"
https://r11.eu/rdf/resource/5a3af177-4d59-4628-bf79-e78248a892fc,"Theophylaktos of Ohrid, Letters 6"
https://r11.eu/rdf/resource/5a9f7bab-00ac-4a92-bcf6-2d025450f014,"Theophylaktos of Ohrid, Letters 7"
https://r11.eu/rdf/resource/347541d2-8622-4d41-a5ed-6c120e52c142,"Theophylaktos of Ohrid, Letters 7"
https://r11.eu/rdf/resource/2ccfd555-a93d-40b0-a19b-7d440ae16921,"Theophylaktos of Ohrid, Letters 7"
https://r11.eu/rdf/resource/d043e137-69aa-4b1d-ae50-1f8f28205618,"Theophylaktos of Ohrid, Letters 11"
https://r11.eu/rdf/resource/f348d358-9b92-425d-9bd4-aa1be18ef8e9,"Theophylaktos of Ohrid, Letters 11"
https://r11.eu/rdf/resource/2788e02f-815a-4524-8b74-d346416ee28f,"Theophylaktos of Ohrid, Letters 11"
https://r11.eu/rdf/resource/f1f4c6d2-e2f4-4563-98a5-3a0763e3823f,"Theophylaktos of Ohrid, Letters 11"
https://r11.eu/rdf/resource/1e483b52-d00f-4983-a840-032961e19535,"Theophylaktos of Ohrid, Letters 14"
https://r11.eu/rdf/resource/87554751-2c0a-46cd-8616-eea0387fee54,"Theophylaktos of Ohrid, Letters 15"
https://r11.eu/rdf/resource/c5d04f70-404f-4c54-937b-3b46c9839139,"Theophylaktos of Ohrid, Letters 15"
https://r11.eu/rdf/resource/1f255ea1-577d-498f-a3c2-c4199f283a94,"Theophylaktos of Ohrid, Letters 18"
https://r11.eu/rdf/resource/7912f21c-7e66-4f33-a43e-a4a4931f8a59,"Theophylaktos of Ohrid, Letters 18"
https://r11.eu/rdf/resource/fad28f79-a3b9-478f-8029-10de671bb1c9,"Theophylaktos of Ohrid, Letters 18"
https://r11.eu/rdf/resource/5fbeb4ac-d3ae-4ff9-a59d-7b0bd5cffc68,"Theophylaktos of Ohrid, Letters 18"
https://r11.eu/rdf/resource/7332bd50-7193-496d-aa93-0210f2ff3ac6,"Theophylaktos of Ohrid, Letters 18"
https://r11.eu/rdf/resource/b856be60-313c-4925-aa60-efaaebe53fd5,"Theophylaktos of Ohrid, Letters 60"
https://r11.eu/rdf/resource/71baafee-9fbb-4cd9-88ec-450c1d3cccf7,"Theophylaktos of Ohrid, Letters 77"
https://r11.eu/rdf/resource/957505b6-12a4-417b-9762-f7e55e1388d7,"Theophylaktos of Ohrid, Letters 60"
https://r11.eu/rdf/resource/35f2c18b-e0fa-423d-b258-60b9ed1be247,"Theophylaktos of Ohrid, Letters 18"
https://r11.eu/rdf/resource/0de1ee05-74a9-4c29-ac95-178c5bc14518,"Theophylaktos of Ohrid, Letters 19"
https://r11.eu/rdf/resource/1f81f147-4659-47a5-aad6-530bc27842a0,"Theophylaktos of Ohrid, Letters 21"
https://r11.eu/rdf/resource/b3a1faba-ef3e-4373-b1d4-4cfc7dbd69da,"Theophylaktos of Ohrid, Letters 21"
https://r11.eu/rdf/resource/95306a2f-9565-4400-aec2-987a590f8668,"Theophylaktos of Ohrid, Letters 22"
https://r11.eu/rdf/resource/5c0f13a6-8910-4638-b665-56012040bf95,"Theophylaktos of Ohrid, Letters 23"
https://r11.eu/rdf/resource/01668a19-7c8b-4edb-9ce0-26c9cf669c64,"Theophylaktos of Ohrid, Letters 23"
https://r11.eu/rdf/resource/721a12ba-0668-4d2c-b8de-8efca98ebf86,"Theophylaktos of Ohrid, Letters 27"
https://r11.eu/rdf/resource/a0d2619e-bcf7-48de-a8e4-55cc84040c6e,"Theophylaktos of Ohrid, Letters 35"
https://r11.eu/rdf/resource/ed71a2d9-f87b-4798-98a3-7bb6cfc2c7f8,"Theophylaktos of Ohrid, Letters 35"
https://r11.eu/rdf/resource/8a4c1961-9042-4669-989f-03b785f63ffa,"Theophylaktos of Ohrid, Letters 35"
https://r11.eu/rdf/resource/00f12543-807d-40e0-9126-4b30f80dd72f,"Theophylaktos of Ohrid, Letters 37"
https://r11.eu/rdf/resource/09a4928f-3f9f-4cad-b4f6-81a6e23b6a9f,"Theophylaktos of Ohrid, Letters 37"
https://r11.eu/rdf/resource/12a8067d-f0b3-48c3-bedf-83baec066661,"Theophylaktos of Ohrid, Letters 37"
https://r11.eu/rdf/resource/6261e742-b6c3-4c31-b56c-14ff75809048,"Theophylaktos of Ohrid, Letters 40"
https://r11.eu/rdf/resource/b04ea19c-6b2f-45f5-a6e2-e29bc0d36bb7,"Theophylaktos of Ohrid, Letters 44"
https://r11.eu/rdf/resource/2d975321-a08a-4985-b19f-dde9f1478986,"Theophylaktos of Ohrid, Letters 44"
https://r11.eu/rdf/resource/7b677a93-cbff-4b9e-9c21-ef0fde638595,"Theophylaktos of Ohrid, Letters 49"
https://r11.eu/rdf/resource/88f2cc9a-373d-4759-a8f3-4c4bf8373a93,"Theophylaktos of Ohrid, Letters 57"
https://r11.eu/rdf/resource/b2dc4e3d-0e67-4316-b543-d9d5baa65c0f,"Theophylaktos of Ohrid, Letters 58"
