PBW Source ID,Source canonical name,PBW editor,Source edition used,Edition URL,Page range,Editor name,Editor VIAF,Author(ity),Evidence of authorship,External authorship authority,External authorship source,External authorship URL
Albert of Aachen,Historia Hierosolymitana,mj,"Historia Ierosolimitana, History of the Journey to Jerusalem, Oxford 2007",,,"Edgington, Susan B.",93497875,Albert 26101,factoid 432193,,,
Alexios Stoudites,The Decrees of Alexios Stoudites,tp,"Erlasse des Patriarchen von Konstantinopel Alexios Studites, Kiel: Festschrift der Universität Kiel, 1911",https://books.google.at/books/about/Erlasse_des_Patriarchen_von_Konstantinop.html?id=5Qw7AQAAMAAJ&redir_esc=y,,"Ficker, Gerhard",37668465,Alexios 11,"title, p. 4",,,
Alexios Stoudites Eleutherios,Der Häretiker Eleutherius,tp,"“Der Häretiker Eleutherius”, Theologischen Studien und Kritiken 79 (1906): 591-614",https://books.google.at/books/about/Theologische_Studien_und_Kritiken.html?id=NOwfAAAAYAAJ&redir_esc=y,,"Ficker, Gerhard",37668465,Source not available,,,,
Alexios Stoudites Ralles-Potles,Ypomnemata of Alexios Stoudites,tp,"Σύνταγμα τῶν Θείων καὶ Ἱερῶν Κανόνων, vol 5, Athens: G. Kartofylakos, 1855, 20-29.",https://anemi.lib.uoc.gr/php/pdf_pager.php?rec=/metadata/9/3/c/metadata-01-0000374.tkl&do=78487_05.pdf&pageno=41&width=325&height=569&maxpage=654&lang=en,,Ralles Georgios. A.; Potles Michael,10200332; 66864785,Alexios 11,"pp. 20, 25",,,
Alexios Stoudites VV,Psephos of Alexios Stoudites to Theophanes the metropolitan of Thessalonike,tp,"“Ψῆφος τοῦ πατριάρχου κυροῦ Ἀλεξίου πρὸς Θεοφάνην ἐπίσκοπον Θεσσαλονίκης περὶ ἁρπαγῆς γάμου”, Vizantijskij Vremennik 12 (1905) 516-517",https://www.pdf-archive.com/2015/02/20/vizantijskij-vremennik-12-1906/,,"Beneševič, Vladimir N.",88126653,Alexios 11,p. 516,,,
Anna Komnene,Alexias,mj,"Annae Comnenae Alexias, Corpus fontium historiae Byzantinae 40/1, Berlin – New York 2001",,,"Reinsch, Diether Roderich; §§",46774901; 51705268,Anna 62,factoid 437887,,,
Annales Barenses,Annales Barenses,mj,"Annales Barenses, Monumenta Germaniae historica, Scriptores V, Hanover 1844, 52-56",,,"Pertz, Georg Heinrich",54236315,,,,,
Anonymus Barensis,Anonymus Barensis,mj,"Anonymi Barensis Chronicon, Rerum Italicarum scriptores V, Milan 1724, 147-156",,,"Muratori, Lodovico Antonio",68933348,,,,,
Aristakes,Patmutʿiwn,tp; ta,"Récit des malheurs de la nation arménienne, Brussels 1973",,,"Canard, Marius; Pērpērean, Hayk",41837536; 34489376,Aristakes 101,factoid 375021,,,
Aristakes (Armenian),Patmutʿiwn,tp; ta,Patmut'iwn Aristakisi Lastivertc'woy,,,"Juzbašjan, K.N.",91775959,Aristakes 101,factoid 375021,,,
Attaleiates: Diataxis,Diataxis,tp,"“La diataxis de Michel Attaliate”, Revue des études byzantines 39 (1981) 5-143",,,"Gautier, Paul",231073465,Michael 202,factoid 254236,,,
Attaleiates: History,Attaliatae Historia,tp,"Michaelis Attaliatae Historia, Corpus scriptorum historiae Byzantinae 3, Bonn 1853",,,"Brunet de Presle, Wladimir; Bekker, Immanuel",203410427; 44387193,Michael 202,factoid 235092,,,
Attaleiates: History (Spanish),Attaliatae Historia,tp,"Miguel Attaliates Historia, Nueva Roma. Bibliotheca Graeca et Latina Aevi Posterioris 15, Madrid 2002",,,"Pérez Martín, Inmaculada",12526036,Michael 202,factoid 235092,,,
"Basilakios, Orationes et epistulae",Basilacae Orationes et epistolae,,"Nicephori Basilacae Orationes et epistolae, Leipzig 1984",http://digital.slub-dresden.de/id416081606,,"Garzya, Antonio",27081575,Nikephoros 17003,factoid 437070,,,
Boilas,Testament of Boilas,mj,"“Le testament d’Eustathios Boïlas (Avril 1059)”, Cinq études sur le XIe siècle byzantin, Paris (1977) 15-63",,,"Lemerle, Paul",97996834,Eustathios 105,factoid 226498,,,
Bryennios,Hyle historias,tp,"Nicéphore Bryennios: Histoire. Introduction, texte, traduction et notes, Brussels 1975",,,"Gautier, Paul",231073465,Nikephoros 117,factoid 237218,,,
Christophoros of Mitylene,Poems,mj,"Die Gedichte des Christophoros Mitylenaios, Leipzig 1903",https://archive.org/embed/diegedichtedesch00chriuoft,,"Kurtz, Eduard",59840374,Christophoros 13102,"title, p. 1",,,
"Christos Philanthropos, note",n/a,mj,"“Commémoraisons des Comnènes dans le typikon liturgique du monastère du Christ Philanthrope (ms. Panaghia Kamariotissa 29)”, Revue des études Byzantines 63 (2005), 41-69",https://www.persee.fr/doc/rebyz_0766-5598_2005_num_63_1_2305,,"Rízou-Kouroúpou, Matoúla; Vannier, Jean-François",102334712; 219220697,,,,,
Chrysobull of 1079,n/a,tp,"“Un chrysobulle de Nicéphore Botaneiatès à souscription synodale”, Byzantion 29 (1959) 29-41",https://www.jstor.org/stable/44169005,,"Gouillard, Jean",88739139,Nikephoros 3,factoid 224945,,,
Clement III to Basileios of Calabria,Clement III to Basileios of Calabria,jr,"“Die Unionsverhandlungen zwischen Kaiser Alexios I. und Papst Urban II. im Jahre 1089″, Byzantinische Zeitschrift 28 (1928), 59-60",https://doi.org/10.1515/byzs.1928.28.1.38,,"Holtzmann, Walther",7485449,Klemes 23,factoid 444557,,,
Dionysiou,Deed of guarantee of Konstantinos Phasoulos,tp,"Actes de Dionysiou, Archives de l’Athos IV, Paris 1968, pp. 35-42",https://archive.org/details/Archives-De-Athos/Archives%20de%20l%27Athos%204-Actes%20de%20Dionysiou%2C%20ed.%20N.%20Oikonomides%2C%20Paris%201968/,,"Oikonomidēs, Nicolas",14774616,Ioannes 411,factoid 375306,,,
Docheiariou 1,Hypomnema of Konstantinos Kamateros,tp,"Actes de Docheiariou, Archives de l’Athos XIII, Paris 1984, 53",https://archive.org/details/Archives-De-Athos/Archives%20de%20l%27Athos%2013-Actes%20de%20Docheiariou%2C%20ed.%20N.%20Oikonomid%E5%A6%94%2C%20Paris%201984,53,"Oikonomidēs, Nicolas",14774616,Konstantinos 256,factoid 375484,,,
Docheiariou 2,Imperial letters of Alexios and Anna,tp,"Actes de Docheiariou, Archives de l’Athos XIII, Paris 1984, 58-59",https://archive.org/details/Archives-De-Athos/Archives%20de%20l%27Athos%2013-Actes%20de%20Docheiariou%2C%20ed.%20N.%20Oikonomid%E5%A6%94%2C%20Paris%201984,"58.1,58.40","Oikonomidēs, Nicolas",14774616,Niketas 159,factoid 375495,,,
